Z  	N  	halflife           	decayMode
50	49	                         	EC      
50	49	                         	EP      
50	50	0.86	EP      
50	50	0.86	EC      
50	51	1.7	EC      
50	51	1.7	EP      
50	52	3.8	EC      
50	53	7	EC      
50	53	7	EP      
50	54	20.8	EC      
50	55	32.7	EC      
50	55	32.7	EP      
50	56	115	EC      
50	57	174	EC      
50	58	618	EC      
50	59	1080	EC      
50	60	14796	EC      
50	61	2118	EC      
50	62	41020000000000000000000000000	2EC     
50	63	9943776	EC      
50	63	1284	IT      
50	63	1284	EC      
50	64	infinity                 	        
50	65	infinity                 	        
50	66	infinity                 	        
50	67	infinity                 	        
50	67	1188864	IT      
50	68	infinity                 	        
50	69	infinity                 	        
50	69	25320000	IT      
50	70	infinity                 	        
50	71	97308	B-      
50	71	1385000000	IT      
50	71	1385000000	B-      
50	72	infinity                 	        
50	73	11160000	B-      
50	73	2403.6	B-      
50	74	37870000000000000000000000000	2B-     
50	75	832896	B-      
50	75	571.2	B-      
50	76	7258000000000	B-      
50	77	7560	B-      
50	77	247.8	B-      
50	78	3544.2	B-      
50	78	6.5	IT      
50	79	133.8	B-      
50	79	414	B-      
50	79	414	IT      
50	80	223.2	B-      
50	80	102	B-      
50	81	56	B-      
50	81	58.4	B-      
50	81	58.4	IT      
50	82	39.7	B-      
50	83	1.46	B-      
50	83	1.46	BN      
50	84	1.05	B-      
50	84	1.05	BN      
50	85	0.53	B-      
50	85	0.53	BN      
50	86	0.25	B-      
50	86	0.25	BN      
50	87	0.19	B-      
50	87	0.19	BN      
50	88	0.000000408	B-      
50	88	0.000000408	BN      
51	52	0.0000015	EC      
51	53	0.44	EC      
51	53	0.44	EP      
51	53	0.44	P       
51	54	1.22	EC      
51	54	1.22	P       
51	55	0.6	EC      
51	56	4	EC      
51	57	7.4	EC      
51	58	17	EC      
51	59	23	EC      
51	60	75	EC      
51	61	51.4	EC      
51	62	400.2	EC      
51	63	209.4	EC      
51	64	1926	EC      
51	65	948	EC      
51	65	3618	EC      
51	66	10080	EC      
51	67	216	EC      
51	67	18000	EC      
51	68	137484	EC      
51	68	0.85	IT      
51	69	953.4	EC      
51	69	497664	EC      
51	70	infinity                 	        
51	71	235336.32	B-      
51	71	235336.32	EC      
51	71	251.46	IT      
51	72	infinity                 	        
51	73	5201280	B-      
51	73	93	IT      
51	73	93	B-      
51	73	1212	IT      
51	74	87050000	B-      
51	75	1067040	B-      
51	75	1149	B-      
51	75	1149	IT      
51	75	11	IT      
51	76	332640	B-      
51	77	32436	B-      
51	77	624	B-      
51	77	624	IT      
51	78	15840	B-      
51	78	1062	B-      
51	78	1062	IT      
51	79	2370	B-      
51	79	378	B-      
51	80	1381.8	B-      
51	81	167.4	B-      
51	81	245.1	B-      
51	82	140.4	B-      
51	83	0.78	B-      
51	83	10.07	BN      
51	83	10.07	B-      
51	84	1.679	B-      
51	84	1.679	BN      
51	85	0.923	B-      
51	85	0.923	BN      
51	86	0.492	B-      
51	86	0.492	BN      
51	87	0.35	B-      
51	87	0.35	BN      
51	88	0.093	B-      
51	88	0.093	BN      
51	89	0.000000407	B-      
51	89	0.000000407	BN      
51	89	0.000000407	B2N     
52	53	0.00000062	A       
52	54	0.00007	A       
52	55	0.0031	A       
52	55	0.0031	EC      
52	56	2.1	EC      
52	56	2.1	A       
52	56	2.1	EP      
52	57	4.6	EP      
52	57	4.6	A       
52	57	4.6	EA      
52	57	4.6	EC      
52	58	18.6	EC      
52	58	18.6	A       
52	59	19.3	EC      
52	59	19.3	EP      
52	60	120	EC      
52	61	102	EC      
52	62	912	EC      
52	63	348	EC      
52	63	402	EC      
52	63	402	IT      
52	64	8964	EC      
52	65	3720	EC      
52	65	0.103	IT      
52	66	518400	EC      
52	67	57780	EC      
52	67	406080	EC      
52	67	406080	IT      
52	68	infinity                 	        
52	69	1656288	EC      
52	69	14190000	IT      
52	69	14190000	EC      
52	70	infinity                 	        
52	71	2903000000000000000000000	EC      
52	71	10299000	IT      
52	72	infinity                 	        
52	73	infinity                 	        
52	73	4959360	IT      
52	74	infinity                 	        
52	75	33660	B-      
52	75	9167040	IT      
52	75	9167040	B-      
52	76	76050000000000000000000000000000	2B-     
52	77	4176	B-      
52	77	2903040	IT      
52	77	2903040	B-      
52	78	94670000000000000000000000000000	2B-     
52	79	1500	B-      
52	79	119700	B-      
52	79	119700	IT      
52	79	0.093	IT      
52	80	276825.6	B-      
52	81	750	B-      
52	81	3324	B-      
52	81	3324	IT      
52	82	2508	B-      
52	83	19	B-      
52	84	17.63	B-      
52	84	17.63	BN      
52	85	2.49	B-      
52	85	2.49	BN      
52	86	1.4	B-      
52	86	1.4	BN      
52	87	0.00000015	B-      
52	87	0.00000015	BN      
52	88	0.0000003	B-      
52	88	0.0000003	BN      
52	89	0.00000015	B-      
52	89	0.00000015	BN      
52	90	                         	        
52	91	0.000000408	B2N     
52	91	0.000000408	B-      
52	91	0.000000408	BN      
53	54	                         	        
53	55	0.036	A       
53	55	0.036	EC      
53	55	0.036	P       
53	56	0.0000935	P       
53	56	0.0000935	A       
53	57	0.65	EA      
53	57	0.65	EC      
53	57	0.65	A       
53	57	0.65	EP      
53	58	2.5	EC      
53	58	2.5	A       
53	59	3.42	EC      
53	59	3.42	A       
53	60	6.6	EC      
53	60	6.6	A       
53	61	2.1	EC      
53	61	2.1	EP      
53	61	6.2	EC      
53	61	6.2	IT      
53	62	78	EC      
53	63	2.91	EC      
53	64	133.2	EC      
53	65	822	EC      
53	65	510	EC      
53	65	510	IT      
53	66	1146	EC      
53	67	4896	EC      
53	67	3180	EC      
53	68	7632	EC      
53	69	217.8	EC      
53	70	47604.6	EC      
53	71	360806.4	EC      
53	72	5132764.8	EC      
53	73	1117152	EC      
53	73	1117152	B-      
53	74	infinity                 	        
53	75	1499.4	B-      
53	75	1499.4	EC      
53	76	495500000000000	B-      
53	77	44496	B-      
53	77	530.4	IT      
53	77	530.4	B-      
53	78	693377.28	B-      
53	79	8262	B-      
53	79	4993.2	IT      
53	79	4993.2	B-      
53	80	74988	B-      
53	80	9	IT      
53	81	3150	B-      
53	81	211.2	IT      
53	81	211.2	B-      
53	82	23688	B-      
53	83	83.4	B-      
53	83	46.9	B-      
53	84	24.5	B-      
53	84	24.5	BN      
53	85	6.23	B-      
53	85	6.23	BN      
53	86	2.28	B-      
53	86	2.28	BN      
53	87	0.86	B-      
53	87	0.86	BN      
53	88	0.43	B-      
53	88	0.43	BN      
53	89	0.222	B-      
53	89	0.222	BN      
53	90	0.13	B-      
53	91	0.0000003	B-      
53	92	0.000000407	B-      
53	92	0.000000407	BN      
54	54	                         	        
54	55	0.013	A       
54	56	0.093	A       
54	56	0.093	EC      
54	56	0.093	EP      
54	57	0.81	EC      
54	57	0.81	A       
54	58	2.7	EC      
54	58	2.7	A       
54	59	2.74	EC      
54	59	2.74	EP      
54	59	2.74	A       
54	59	2.74	EA      
54	60	10	EC      
54	61	18	EC      
54	61	18	EP      
54	61	18	A       
54	62	59	EC      
54	63	61	EC      
54	63	61	EP      
54	64	228	EC      
54	65	348	EC      
54	66	2400	EC      
54	67	2406	EC      
54	68	72360	EC      
54	69	7488	EC      
54	70	5049200000000000000000	2EC     
54	71	60839.1	EC      
54	71	57	IT      
54	72	infinity                 	        
54	73	3140294.4	EC      
54	73	69.2	IT      
54	74	infinity                 	        
54	75	infinity                 	        
54	75	767232	IT      
54	76	infinity                 	        
54	77	infinity                 	        
54	77	1022976	IT      
54	78	infinity                 	        
54	78	0.00839	IT      
54	79	453383.1	B-      
54	79	189907.2	IT      
54	80	1830000000000000000000000000000	2B-     
54	80	0.29	IT      
54	81	32904	B-      
54	81	917.4	IT      
54	81	917.4	B-      
54	82	75740000000000000000000000000	2B-     
54	83	229.08	B-      
54	84	844.8	B-      
54	85	39.68	B-      
54	86	13.6	B-      
54	87	1.73	B-      
54	87	1.73	BN      
54	88	1.23	B-      
54	88	1.23	BN      
54	89	0.511	B-      
54	89	0.511	BN      
54	90	0.388	B-      
54	90	0.388	BN      
54	91	0.188	B-      
54	91	0.188	BN      
54	92	0.146	B-      
54	92	0.146	BN      
54	93	0.1	B-      
54	93	0.1	BN      
54	94	0.000000408	B-      
54	94	0.000000408	BN      
55	57	0.0005	P       
55	58	0.0000167	P       
55	58	0.0000167	A       
55	59	0.57	EC      
55	59	0.57	EP      
55	59	0.57	EA      
55	59	0.57	A       
55	60	1.4	EC      
55	60	1.4	EP      
55	61	0.7	EC      
55	61	0.7	EP      
55	61	0.7	EA      
55	61	3.85	EC      
55	61	3.85	EP      
55	61	3.85	EA      
55	62	8.4	EC      
55	62	6.5	EC      
55	63	14	EC      
55	63	14	EP      
55	63	14	EA      
55	63	17	EC      
55	63	17	EP      
55	63	17	EA      
55	64	43	EC      
55	64	30.4	EC      
55	65	61.3	EC      
55	65	61.3	EA      
55	65	61.3	EP      
55	65	57	EC      
55	66	155	EC      
55	66	122	EC      
55	66	122	IT      
55	67	21.18	EC      
55	67	0.36	IT      
55	67	222	EC      
55	68	352.8	EC      
55	68	1.64	IT      
55	69	30.9	EC      
55	69	6.3	IT      
55	70	2802	EC      
55	70	0.0009	IT      
55	71	98.4	EC      
55	72	22500	EC      
55	73	219.6	EC      
55	74	115416	EC      
55	75	1752.6	EC      
55	75	1752.6	B-      
55	75	207.6	IT      
55	75	207.6	EC      
55	76	837129.6	EC      
55	77	559872	EC      
55	77	559872	B-      
55	78	infinity                 	        
55	79	65170000	B-      
55	79	65170000	EC      
55	79	10483.2	IT      
55	80	72580000000000	B-      
55	80	3180	IT      
55	81	1126656	B-      
55	81	17.5	B-      
55	81	17.5	IT      
55	82	949300000	B-      
55	83	2004.6	B-      
55	83	174.6	IT      
55	83	174.6	B-      
55	84	556.2	B-      
55	85	63.7	B-      
55	86	24.84	B-      
55	86	24.84	BN      
55	87	1.684	B-      
55	87	1.684	BN      
55	88	1.791	B-      
55	88	1.791	BN      
55	89	0.994	B-      
55	89	0.994	BN      
55	89	1	B-      
55	90	0.587	B-      
55	90	0.587	BN      
55	91	0.321	B-      
55	91	0.321	BN      
55	92	0.23	B-      
55	92	0.23	BN      
55	93	0.146	B-      
55	93	0.146	BN      
55	94	0.05	B-      
55	94	0.05	BN      
55	95	0.05	B-      
55	95	0.05	BN      
55	96	0.05	B-      
55	96	0.05	BN      
56	56	                         	        
56	57	                         	        
56	58	0.43	A       
56	58	0.43	12C     
56	58	0.43	EC      
56	58	0.43	EP      
56	59	0.45	EC      
56	59	0.45	EP      
56	60	1.3	EC      
56	60	1.3	EP      
56	61	1.75	EC      
56	61	1.75	EA      
56	61	1.75	EP      
56	62	5.5	EC      
56	62	5.5	EP      
56	63	5.4	EC      
56	63	5.4	EP      
56	64	24	EC      
56	65	29.7	EC      
56	66	117	EC      
56	67	162	EC      
56	68	660	EC      
56	69	198	EC      
56	70	6000	EC      
56	71	762	EC      
56	71	1.9	IT      
56	72	209952	EC      
56	73	8028	EC      
56	73	7776	EC      
56	73	7776	IT      
56	74	infinity                 	2EC     
56	74	0.0094	IT      
56	75	993600	EC      
56	75	876	IT      
56	76	94670000000000000000000000000	2EC     
56	77	333000000	EC      
56	77	140148	IT      
56	77	140148	EC      
56	78	infinity                 	        
56	79	infinity                 	        
56	79	103320	IT      
56	80	infinity                 	        
56	80	0.308	IT      
56	81	infinity                 	        
56	81	153.12	IT      
56	82	infinity                 	        
56	83	4983.6	B-      
56	84	1101833.28	B-      
56	85	1096.2	B-      
56	86	636	B-      
56	87	14.5	B-      
56	88	11.5	B-      
56	89	4.31	B-      
56	90	2.22	B-      
56	91	0.894	B-      
56	91	0.894	BN      
56	92	0.612	B-      
56	92	0.612	BN      
56	93	0.344	B-      
56	93	0.344	BN      
56	94	0.3	B-      
56	94	0.3	BN      
56	95	0.0000003	B-      
56	95	0.0000003	BN      
56	96	0.000000406	B-      
56	96	0.000000406	BN      
56	97	                         	B-      
57	60	0.0235	EC      
57	60	0.0235	P       
57	60	0.01	P       
57	60	0.01	EC      
57	61	                         	EC      
57	62	                         	EC      
57	63	2.8	EC      
57	63	2.8	EP      
57	64	5.3	EC      
57	65	8.6	EC      
57	65	8.6	EP      
57	66	17	EC      
57	67	29.21	EC      
57	67	21	EC      
57	68	64.8	EC      
57	68	0.39	        
57	69	54	EC      
57	69	50	EC      
57	69	50	IT      
57	70	306	EC      
57	70	222	EC      
57	70	222	IT      
57	71	310.8	EC      
57	71	84	EC      
57	72	696	EC      
57	72	0.56	IT      
57	73	522	EC      
57	74	3540	EC      
57	75	17280	EC      
57	75	1458	IT      
57	75	1458	EC      
57	76	14083.2	EC      
57	77	387	EC      
57	78	70200	EC      
57	79	592.2	EC      
57	79	0.114	IT      
57	80	1893000000000	EC      
57	81	3219000000000000000	EC      
57	81	3219000000000000000	B-      
57	82	infinity                 	        
57	83	145026.72	B-      
57	84	14112	B-      
57	85	5466	B-      
57	86	852	B-      
57	87	40.8	B-      
57	88	24.8	B-      
57	89	6.27	B-      
57	89	10	B-      
57	90	4.06	B-      
57	90	4.06	BN      
57	91	1.26	B-      
57	91	1.26	BN      
57	92	1.05	B-      
57	92	1.05	BN      
57	93	0.86	BN      
57	93	0.86	B-      
57	94	0.0000003	B-      
57	94	0.0000003	BN      
57	95	0.00000015	B-      
57	96	0.0000001	B-      
57	97	                         	B-      
57	98	                         	B-      
58	61	                         	EC      
58	62	                         	EC      
58	63	1.1	EP      
58	63	1.1	EC      
58	64	                         	EC      
58	64	                         	EP      
58	65	3.8	EC      
58	65	3.8	EP      
58	66	6	EC      
58	67	9.7	EC      
58	67	9.7	EP      
58	68	51	EC      
58	69	34	EC      
58	69	28.6	EC      
58	70	235.8	EC      
58	71	210	EC      
58	72	1374	EC      
58	73	618	EC      
58	73	324	EC      
58	73	324	IT      
58	74	12636	EC      
58	74	0.0094	IT      
58	75	5820	EC      
58	75	18360	EC      
58	75	18360	IT      
58	76	273024	EC      
58	77	63720	EC      
58	77	20	IT      
58	78	2209000000000000000000	2EC     
58	79	32400	EC      
58	79	123840	IT      
58	79	123840	EC      
58	80	2840000000000000000000	2EC     
58	80	0.00865	IT      
58	81	11890000	EC      
58	81	54.8	IT      
58	82	infinity                 	        
58	83	2808691.2	B-      
58	84	1578000000000000000000000	2B-     
58	85	118940.4	B-      
58	86	24620000	B-      
58	87	180.6	B-      
58	88	811.2	B-      
58	89	56.4	B-      
58	90	56	B-      
58	91	5.3	B-      
58	92	4	B-      
58	93	1.76	B-      
58	93	1.02	B-      
58	94	1.4	B-      
58	95	0.0000001	B-      
58	96	0.0000001	B-      
58	97	0.0000003	B-      
58	98	                         	B-      
58	99	                         	B-      
59	62	0.01	P       
59	63	0.5	EC      
59	64	0.8	EC      
59	65	1.2	EC      
59	65	1.2	EP      
59	66	3.3	EC      
59	66	3.3	EP      
59	67	3.14	EC      
59	67	3.14	EP      
59	68	4.2	EC      
59	69	2.84	EC      
59	70	30	EC      
59	71	40	EC      
59	71	40	EC      
59	71	40	EC      
59	72	90.6	EC      
59	72	5.73	IT      
59	72	5.73	EC      
59	73	96	EC      
59	74	390	EC      
59	74	1.1	IT      
59	75	660	EC      
59	75	1020	EC      
59	76	1440	EC      
59	77	786	EC      
59	78	4608	EC      
59	79	87	EC      
59	79	7632	EC      
59	80	15876	EC      
59	81	203.4	EC      
59	82	infinity                 	        
59	83	68832	B-      
59	83	68832	EC      
59	83	876	IT      
59	84	1172448	B-      
59	85	1036.8	B-      
59	85	432	IT      
59	85	432	B-      
59	86	21542.4	B-      
59	87	1449	B-      
59	88	804	B-      
59	89	137.4	B-      
59	89	120.6	B-      
59	90	135.6	B-      
59	91	6.19	B-      
59	92	18.9	B-      
59	93	3.57	B-      
59	94	4.28	B-      
59	95	2.3	B-      
59	96	0.0000003	B-      
59	97	0.0000003	B-      
59	98	                         	B-      
59	99	                         	B-      
59	100	                         	B-      
60	64	                         	EC      
60	65	0.65	EC      
60	65	0.65	EP      
60	66	0.0000002	EC      
60	66	0.0000002	EP      
60	67	1.8	EC      
60	67	1.8	EP      
60	68	5	EC      
60	68	5	EP      
60	69	4.9	EC      
60	69	4.9	EP      
60	70	21	EC      
60	71	25.4	EC      
60	71	25.4	EP      
60	72	94	EC      
60	73	70	EC      
60	73	70	EC      
60	73	70	IT      
60	74	510	EC      
60	75	744	EC      
60	75	330	EC      
60	75	330	IT      
60	76	3039	EC      
60	77	2310	EC      
60	77	1.6	IT      
60	78	18144	EC      
60	79	1782	EC      
60	79	19800	EC      
60	79	19800	IT      
60	80	291168	EC      
60	80	0.0006	IT      
60	81	8964	EC      
60	81	62	EC      
60	81	62	IT      
60	82	infinity                 	        
60	83	infinity                 	        
60	84	72270000000000000000000	A       
60	85	infinity                 	        
60	86	infinity                 	        
60	87	948672	B-      
60	88	infinity                 	        
60	89	6220.8	B-      
60	90	249300000000000000000000000	        
60	91	746.4	B-      
60	92	684	B-      
60	93	31.6	B-      
60	94	25.9	B-      
60	95	8.9	B-      
60	96	5.06	B-      
60	97	0.0000001	B-      
60	98	0.00000005	B-      
60	99	                         	B-      
60	100	                         	B-      
60	101	                         	B-      
61	65	                         	EC      
61	66	                         	P       
61	66	                         	EC      
61	67	1	EC      
61	67	1	A       
61	67	1	EP      
61	68	2.4	EC      
61	69	2.6	EC      
61	69	2.6	EP      
61	70	6.3	EC      
61	71	6.2	EP      
61	71	6.2	EC      
61	72	13.5	EC      
61	72	8.8	IT      
61	72	8.8	EC      
61	73	5	EC      
61	73	22	EC      
61	74	49	EC      
61	74	45	EC      
61	75	107	EC      
61	75	47	EC      
61	76	144	EC      
61	77	10	EC      
61	77	194.4	EC      
61	78	249	EC      
61	78	0.18	IT      
61	78	0.18	EC      
61	79	9.2	EC      
61	79	357	EC      
61	80	1254	EC      
61	81	40.5	EC      
61	81	0.002	IT      
61	82	22900000	EC      
61	83	31360000	EC      
61	84	558600000	EC      
61	84	558600000	A       
61	85	174500000	EC      
61	85	174500000	B-      
61	86	82790000	B-      
61	87	463795.2	B-      
61	87	3567456	B-      
61	87	3567456	IT      
61	88	191088	B-      
61	89	9648	B-      
61	90	102240	B-      
61	91	247.2	B-      
61	91	828	B-      
61	91	828	IT      
61	91	451.2	B-      
61	92	315	B-      
61	93	160.8	B-      
61	93	103.8	B-      
61	94	41.5	B-      
61	95	26.7	B-      
61	96	10.56	B-      
61	97	4.8	B-      
61	98	1.5	B-      
61	99	                         	B-      
61	100	                         	B-      
61	101	                         	B-      
61	102	                         	B-      
62	66	                         	EC      
62	66	                         	P       
62	67	0.55	EP      
62	67	0.55	EC      
62	68	                         	EC      
62	69	1.2	EC      
62	69	1.2	EP      
62	70	4	EC      
62	70	4	EP      
62	71	2.89	EC      
62	71	2.89	EP      
62	71	3.5	EC      
62	71	3.5	IT      
62	71	3.5	EP      
62	72	9.5	EC      
62	73	10.3	EC      
62	73	10.3	EP      
62	74	47	EC      
62	75	45	EC      
62	76	186	EC      
62	77	154.2	EC      
62	77	10.7	IT      
62	77	10.7	EC      
62	78	889.2	EC      
62	79	612	EC      
62	79	1356	EC      
62	79	1356	IT      
62	80	4349.4	EC      
62	81	525	EC      
62	81	66	IT      
62	81	66	EC      
62	81	0.03	IT      
62	82	infinity                 	        
62	83	29380000	EC      
62	84	3250000000000000	A       
62	85	3345000000000000000	A       
62	86	220900000000000000000000	A       
62	87	infinity                 	        
62	88	infinity                 	        
62	89	2840000000	B-      
62	90	infinity                 	        
62	91	166622.4	B-      
62	91	0.0106	IT      
62	92	infinity                 	        
62	93	1338	B-      
62	94	33840	B-      
62	95	481.8	B-      
62	96	318	B-      
62	97	11.37	B-      
62	98	9.6	B-      
62	99	4.8	B-      
62	100	2.4	B-      
62	101	                         	B-      
62	102	                         	B-      
62	103	                         	B-      
63	67	0.0009	P       
63	68	0.0178	EC      
63	68	0.0178	P       
63	69	                         	P       
63	69	                         	EC      
63	70	                         	EC      
63	71	0.5	EC      
63	71	0.5	EP      
63	72	1.5	EC      
63	72	1.5	EP      
63	73	3.3	EC      
63	73	3.3	EP      
63	73	3.8	EC      
63	73	3.8	EP      
63	74	11	EC      
63	75	12.1	EC      
63	76	17.9	EC      
63	77	1.51	EC      
63	77	0.125	IT      
63	77	0.125	EC      
63	78	40.7	EC      
63	78	2.7	IT      
63	78	2.7	EC      
63	79	2.34	EC      
63	79	73.38	EC      
63	80	155.4	EC      
63	81	10.2	EC      
63	82	512352	EC      
63	83	398304	EC      
63	84	2082240	EC      
63	84	2082240	A       
63	85	4708800	EC      
63	85	4708800	A       
63	86	8043839.1	EC      
63	87	1164000000	EC      
63	87	46080	B-      
63	87	46080	EC      
63	87	46080	IT      
63	88	53650000000000000000000000	A       
63	89	426900000	EC      
63	89	426900000	B-      
63	89	33521.76	B-      
63	89	33521.76	EC      
63	89	5760	IT      
63	90	infinity                 	        
63	91	271400000	B-      
63	91	271400000	EC      
63	91	2778	IT      
63	92	150000000	B-      
63	93	1312416	B-      
63	94	54648	B-      
63	95	2754	B-      
63	96	1086	B-      
63	97	38	B-      
63	98	26	B-      
63	99	10.6	B-      
63	100	7.7	B-      
63	101	4.2	B-      
63	102	2.3	B-      
63	103	                         	B-      
63	104	                         	B-      
64	69	                         	        
64	70	                         	EC      
64	71	1.1	EC      
64	71	1.1	EP      
64	72	0.0000002	        
64	73	2.2	EC      
64	73	2.2	EP      
64	74	4.7	EC      
64	75	5.8	EP      
64	75	5.8	EC      
64	75	4.8	EP      
64	75	4.8	EC      
64	76	15.8	EC      
64	77	14	EC      
64	77	14	EP      
64	77	24.5	EC      
64	77	24.5	IT      
64	78	70.2	EC      
64	79	39	EC      
64	79	110	EC      
64	80	268.2	EC      
64	81	1380	EC      
64	81	85	IT      
64	81	85	EC      
64	82	4170528	EC      
64	83	137016	EC      
64	84	2237000000	A       
64	85	801792	EC      
64	85	801792	A       
64	86	56490000000000	A       
64	87	10705000	EC      
64	87	10705000	A       
64	88	3408000000000000000000	A       
64	89	20771000	EC      
64	90	infinity                 	        
64	91	infinity                 	        
64	91	0.032	IT      
64	92	infinity                 	        
64	93	infinity                 	        
64	94	infinity                 	        
64	95	66524.4	B-      
64	96	978300000000000000000000000	2B-     
64	97	219.6	B-      
64	98	504	B-      
64	99	68	B-      
64	100	45	B-      
64	101	10.3	B-      
64	102	4.8	B-      
64	103	                         	B-      
64	104	                         	B-      
64	105	                         	B-      
65	70	0.00094	P       
65	71	                         	EC      
65	72	                         	P       
65	72	                         	EC      
65	73	0.0000002	EC      
65	73	0.0000002	P       
65	74	1.6	EP      
65	74	1.6	EC      
65	75	2	EC      
65	75	2	EP      
65	76	3.5	EC      
65	76	7.9	EC      
65	77	0.597	EC      
65	77	0.597	EP      
65	77	0.303	IT      
65	78	12	EC      
65	78	21	EC      
65	79	1	EC      
65	79	4.25	IT      
65	79	4.25	EC      
65	80	                         	EC      
65	80	30.9	EC      
65	81	8	EC      
65	81	23	EC      
65	81	0.00118	IT      
65	82	5904	EC      
65	82	109.8	EC      
65	83	3600	EC      
65	83	132	EC      
65	84	14824.8	EC      
65	84	14824.8	A       
65	84	249.6	EC      
65	84	249.6	A       
65	85	12528	EC      
65	85	12528	A       
65	85	348	EC      
65	86	63392.4	EC      
65	86	63392.4	A       
65	86	25	EC      
65	86	25	IT      
65	87	63000	EC      
65	87	63000	A       
65	87	252	IT      
65	87	252	EC      
65	88	202176	EC      
65	89	77400	EC      
65	89	77400	B-      
65	89	81720	EC      
65	89	81720	IT      
65	89	33840	IT      
65	89	33840	B-      
65	89	33840	EC      
65	90	459648	EC      
65	91	462239.1	EC      
65	91	87840	IT      
65	91	19080	IT      
65	91	19080	EC      
65	92	2241000000	EC      
65	93	5680000000	EC      
65	93	5680000000	B-      
65	93	10.7	IT      
65	93	10.7	B-      
65	93	10.7	EC      
65	93	0.0004	IT      
65	94	infinity                 	        
65	95	6246720	B-      
65	96	595296	B-      
65	97	456	B-      
65	98	1170	B-      
65	99	180	B-      
65	100	126.6	B-      
65	101	25.1	B-      
65	102	19.4	B-      
65	103	8.2	B-      
65	104	                         	B-      
65	105	                         	B-      
65	106	                         	B-      
66	72	                         	EC      
66	73	0.6	EC      
66	73	0.6	EP      
66	74	                         	EC      
66	75	0.9	EP      
66	75	0.9	EC      
66	76	2.3	EC      
66	76	2.3	EP      
66	77	5.6	EC      
66	77	5.6	EP      
66	77	3	EC      
66	77	3	EP      
66	78	9.1	EC      
66	78	9.1	EP      
66	79	6	EP      
66	79	6	EC      
66	79	14.1	EC      
66	79	14.1	EP      
66	80	29	EC      
66	80	0.15	IT      
66	81	67	EC      
66	81	67	EP      
66	81	55.2	EC      
66	81	55.2	IT      
66	82	198	EC      
66	83	252	EC      
66	83	0.49	IT      
66	83	0.49	EC      
66	84	430.2	EC      
66	84	430.2	A       
66	85	1074	EC      
66	85	1074	A       
66	86	8568	EC      
66	86	8568	A       
66	87	23040	EC      
66	87	23040	A       
66	88	94670000000000	A       
66	89	35640	EC      
66	90	infinity                 	        
66	91	29304	EC      
66	91	0.0216	IT      
66	92	infinity                 	        
66	93	12480000	EC      
66	94	infinity                 	        
66	95	infinity                 	        
66	96	infinity                 	        
66	97	infinity                 	        
66	98	infinity                 	        
66	99	8402.4	B-      
66	99	75.42	IT      
66	99	75.42	B-      
66	100	293760	B-      
66	101	372	B-      
66	102	522	B-      
66	103	39	B-      
66	104	                         	B-      
66	105	                         	B-      
66	106	                         	B-      
66	107	                         	B-      
67	73	0.006	P       
67	74	0.0041	P       
67	75	0.4	EC      
67	75	0.4	EP      
67	76	                         	EC      
67	76	                         	EP      
67	77	0.7	EC      
67	77	0.7	EP      
67	78	2.4	EC      
67	79	3.6	EC      
67	80	5.8	EC      
67	81	2.2	EC      
67	81	9.59	EC      
67	81	9.59	EP      
67	81	0.00235	IT      
67	82	21.1	EC      
67	82	56	EC      
67	83	72	EC      
67	83	24.1	EC      
67	83	24.1	        
67	84	35.2	EC      
67	84	35.2	A       
67	84	47.2	A       
67	84	47.2	EC      
67	85	161.8	EC      
67	85	161.8	A       
67	85	50	EC      
67	85	50	A       
67	86	120.6	EC      
67	86	120.6	A       
67	86	558	A       
67	86	558	EC      
67	87	705.6	EC      
67	87	705.6	A       
67	87	186	EC      
67	87	186	A       
67	88	2880	EC      
67	88	0.00088	IT      
67	89	3360	EC      
67	89	9.5	IT      
67	89	468	EC      
67	89	468	IT      
67	90	756	EC      
67	91	678	EC      
67	91	1680	IT      
67	91	1680	EC      
67	91	1278	EC      
67	91	1278	IT      
67	92	1982.1	EC      
67	92	8.3	IT      
67	93	1536	EC      
67	93	18072	EC      
67	93	18072	IT      
67	93	3	IT      
67	94	8928	EC      
67	94	6.76	IT      
67	95	900	EC      
67	95	4020	IT      
67	95	4020	EC      
67	96	144200000000	EC      
67	96	1.09	IT      
67	97	1740	EC      
67	97	1740	B-      
67	97	2250	IT      
67	98	infinity                 	        
67	99	96566.4	B-      
67	99	37870000000	B-      
67	100	10810.8	B-      
67	101	179.4	B-      
67	101	132	IT      
67	101	132	B-      
67	102	283.2	B-      
67	103	165.6	B-      
67	103	43	B-      
67	104	53	B-      
67	105	25	B-      
67	106	                         	B-      
67	107	                         	B-      
67	108	                         	B-      
68	74	                         	        
68	75	                         	EC      
68	76	0.0000002	EC      
68	77	                         	EC      
68	77	1	EP      
68	77	1	EC      
68	78	1.7	EC      
68	78	1.7	EP      
68	79	2.5	EC      
68	79	2.5	EP      
68	79	1.6	EC      
68	79	1.6	EP      
68	80	4.6	EC      
68	81	4	EC      
68	81	4	EP      
68	81	8.9	IT      
68	81	8.9	EP      
68	81	8.9	EC      
68	82	18.5	EC      
68	83	23.5	EC      
68	83	0.58	IT      
68	83	0.58	EC      
68	84	10.3	A       
68	84	10.3	EC      
68	85	37.1	A       
68	85	37.1	EC      
68	86	223.8	A       
68	86	223.8	EC      
